P_G,Q_G,P_L,Q_L,r_line,x_line,P_line,Q_line,V
"[0.26298205449446044, 0.014529659178471321]","[0.4734432706039024, 0.18067276838169724]",[0.38209526 0.2671488  0.12665196],[0.15041431 0.4368769  0.47745046],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.29016753253290517, 0.32615204755074956, 0.03598956434253082]","[0.0745733582621142, 0.1856990265919194, 0.1111172909948968]","[1.0, 0.9999450877173751, 0.9999128079384961]"
"[0.9070396285542518, 0.22413117852990805]","[-0.3579412459775936, -0.3204917036959652]",[0.31831532 0.11062497 0.22477019],[0.15600751 0.30346716 0.17934118],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[-0.2806846356315873, -0.014987454696438363, 0.2656740145032319]","[0.6076713148736417, 0.5537770877735966, -0.05384910416775372]","[1.0, 0.9998831784289823, 0.9998634318224947]"
"[0.5538003254185812, 0.44313197582484726]","[-0.5080088575927459, 0.10521507116393143]",[0.41855336 0.33714469 0.45126987],[0.48492499 0.10710763 0.21485643],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.10829767293671466, 0.18322911156451482, 0.07492690319544093]","[0.44667981876546037, 0.278167081142783, -0.1684894835506641]","[1.0, 0.9998747932498281, 0.9999075546516752]"
"[0.35300377789867515, 0.33971965632678947]","[-0.15286702161394794, -0.15373273654849662]",[0.28949012 0.47414384 0.32143265],[0.13064613 0.40611669 0.1254782 ],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.3247024199461066, 0.27821931967127966, -0.046477941318378596]","[0.46580401592518683, 0.3725280014150485, -0.09326029976420809]","[1.0, 0.9998429614569204, 0.9998720908489643]"
"[0.30761161374501117, 0.17808870724334544]","[-0.6044163487238542, -0.23884417423938947]",[0.36344507 0.31340311 0.49478198],[0.12610773 0.26782341 0.13456226],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.35949267963474085, 0.4631386033761373, 0.10362270215765886]","[0.7061242046984262, 0.5398150225960308, -0.16627251662674938]","[1.0, 0.9997785323651635, 0.9998071550859744]"
"[0.6492407451492596, 0.1171125428108394]","[-0.5299364651847586, -0.1395219205016873]",[0.2821483  0.47721734 0.3602164 ],[0.33311919 0.32115654 0.19504325],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.21640534610014583, 0.35479254413462513, 0.13836526214583825]","[0.6790503986958356, 0.5068426546199589, -0.17216959175412283]","[1.0, 0.9998031872058599, 0.9998289405895119]"
"[0.14328802385208556, 0.08889023363187468]","[0.15471277029657052, 0.32956453865206603]",[0.35683739 0.28916613 0.36703281],[0.30657516 0.38087163 0.18194962],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.4399885505260954, 0.48408916957419024, 0.04408495118132214]","[0.10162452033682712, -0.02296652055792947, -0.12458531391845871]","[1.0, 0.9999196000345488, 0.999945238159114]"
"[0.356193988950059, 0.3272120983134625]","[0.8366063498072157, 0.3769754014000124]",[0.23179717 0.27094543 0.32278274],[0.18304964 0.27799205 0.4152742 ],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.19171651144370117, 0.2186405673057834, 0.026944310386790724]","[-0.3596025545757584, -0.16064294930174583, 0.19897022319798652]","[1.0, 1.000065940387725, 1.0000128334594482]"
"[0.5001174776101845, 0.17270252121106602]","[-0.8226336709864686, 0.21752719334881257]",[0.2778751  0.23797616 0.28733737],[0.33222025 0.39783729 0.38237506],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.11353376642682633, 0.23911371560893713, 0.1255791240173522]","[0.868793711759281, 0.516833024601965, -0.35186917342894597]","[1.0, 0.9997686130692864, 0.9998409025410439]"
"[0.18047743141673095, 0.20949746751834752]","[-0.09603306390761121, -0.03431019103693669]",[0.39949899 0.12975664 0.23595815],[0.17047237 0.41007357 0.22736137],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.22503221021861464, 0.2507600500471199, 0.02572412605794354]","[0.4246860586645198, 0.3431968726440573, -0.08147832359500227]","[1.0, 0.999865699464089, 0.9998828559714359]"
